id,name,status,species,type,gender,origin,location,image,episode_count,created
1,Rick Sanchez,Alive,Human,,Male,Earth (C-137),Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/1.jpeg,51,2017-11-04T18:48:46.250Z
2,Morty Smith,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/2.jpeg,51,2017-11-04T18:50:21.651Z
3,Summer Smith,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/3.jpeg,42,2017-11-04T19:09:56.428Z
4,Beth Smith,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/4.jpeg,42,2017-11-04T19:22:43.665Z
5,Jerry Smith,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/5.jpeg,39,2017-11-04T19:26:56.301Z
6,Abadango Cluster Princess,Alive,Alien,,Female,Abadango,Abadango,https://rickandmortyapi.com/api/character/avatar/6.jpeg,1,2017-11-04T19:50:28.250Z
7,Abradolf Lincler,unknown,Human,Genetic experiment,Male,Earth (Replacement Dimension),Testicle Monster Dimension,https://rickandmortyapi.com/api/character/avatar/7.jpeg,2,2017-11-04T19:59:20.523Z
8,Adjudicator Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/8.jpeg,1,2017-11-04T20:03:34.737Z
9,Agency Director,Dead,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/9.jpeg,1,2017-11-04T20:06:54.976Z
10,Alan Rails,Dead,Human,Superhuman (Ghost trains summoner),Male,unknown,Worldender's lair,https://rickandmortyapi.com/api/character/avatar/10.jpeg,1,2017-11-04T20:19:09.017Z
11,Albert Einstein,Dead,Human,,Male,Earth (C-137),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/11.jpeg,1,2017-11-04T20:20:20.965Z
