id,name,canonical_name,mal_id,description
1,Jet Black,Jet Black,3,"Jet, known on his home satellite as the ""Black Dog"" for his tenacity, is a 36-year-old former cop from Ganymede (a Jovian satellite) and acts as Spike's foil during the series. Physically, Jet is very tall with a muscular build. He wears a beard with no mustache, and is completely bald save for the "
2,Spike Spiegel,Spike Spiegel,1,"Height: 185 cm (6' 1"") Weight: 70 kg (155 lbs) Blood type: O Date of Birth: June 26, 2044 Planet of Origin: Mars  Spike Spiegel is a tall and lean 27-year-old bounty hunter born on Mars. The inspiration for Spike is found in martial artist Bruce Lee who uses the martial arts style of Jeet Kune Do as"
3,Faye Valentine,Faye Valentine,2,"Faye Valentine Birthday: August 14, 1994  One of the members of the bounty hunting crew in the anime series Cowboy Bebop. Often seen with a cigarette and in a revealing outfit complete with bright yellow hot pants and a matching, revealing top, black suspenders, white boots, and a long-sleeved red s"
4,Edward Wong Hau Pepelu Tivrusky IV,Edward Wong Hau Pepelu Tivrusky IV,16,"The self-invented personal name of an elite net-diver from Earth, hacker ""Radical Edward"" is a very strange, somewhat androgynous, teenage girl assumed to be around 13 years in age. She has a feral aspect reflected in her mannerisms, bare feet, strange postures and gangling walk.  Ed could be consid"
5,Ein,Ein,4,"Ein is a Pembroke Welsh Corgi brought aboard the Bebop by Spike after a failed attempt to capture a bounty. Ein is a ""data dog"": while the televised series only briefly hints on the fact that this means Ein's brain was somehow enhanced drastically, the manga shows Ed accessing data stored in Ein's b"
6,Vicious,Vicious,2734,"It's all in the name with Vicious: he is ruthless, bloodthirsty, cunning and ambitious, willing to do anything in order to secure a position of power. He is a member of the Red Dragon Crime Syndicate in Tharsis, and is often referred to or depicted as a venomous snake. His weapon of choice is not a "
7,Julia,Julia,2735,"Julia is a beautiful and mysterious woman from both Spike and Vicious' pasts. A love triangle among the three caused Spike to leave the syndicate rather than challenge Vicious. Spike had wanted to take her with him when he left the syndicate, but she was blackmailed by Vicious into almost shooting S"
8,Punch,Punch,6693,"Co-hosts the TV show Big Shot along with Judy. The show features the duo in western attire and provides information on popular Bounty Heads throughout the star system. Punch speaks with a faked western/Mexican accent, and tends to spout out various old-West sayings.   Later on in the series, when he"
9,Judy,Judy,6694,"Co-hosts the TV show Big Shot along with Punch. The show features the duo in western attire and provides information on popular Bounty Heads throughout the star system. Judy acts like a stereotypical dumb-blonde, and wears a very revealing outfit. After Punch announces that the show has been cancell"
10,Coffee,Coffee,15713,"Coffee is a female bounty hunter. She appears in ""Mushroom Samba"", in which she runs into Edward. Later on, Coffee finds out that Ed is a bounty hunter as well. She quickly follows Ed on a chase for a mushroom farmer that harvests rare drug-like mushrooms. Coffee gets into her convertible car and ch"
11,Dr. Londes,Dr. Londes,18441,"Age: 14 (Fake ID purports 95)  Appears in Session 23, ""Brain Scratch"".  Doctor Londes is the leader of the Scratch movement. He is a prodigal hacker, but was left as a vegetable early in his life. Mad at the world, he started Scratch, and was able to set up an alias under the name ""Doctor Londes"", c"
12,Bob,Bob,19117,"""Bob"" is an ISSP policeman based on Ganymede to whom Jet frequently goes to for inside information when looking for bounty heads. Throughout the series, and especially in the film, Bob provides (sometimes reluctantly) crucial information.  (Source: Wikipedia)"
13,Laughing Bull,Laughing Bull,19118,"A kind old shaman, apparently of Native American descent. Laughing Bull lives on Mars, and figures prominently in a number of Cowboy Bebop sessions. Spike goes to Laughing Bull for advice in Session 1 while looking for bounty head Asimov; in ""The Real Folk Blues, Part 2"", Jet goes to him for informa"
14,Wen,Wen,19119,"Wen was a victim of the Astral Gate accident that caused his body to stop aging. He was a gifted harmonica player that became jaded over time and held people hostage, like Zebra, in order to keep his condition a secret."
15,Mad Pierrot,Mad Pierrot,29313,"Mad ""Tongpu"" Pierrot is an assassin who targets high ranking syndicate officials. He is highly skilled with all manner of firearms and is armed with an armory equal to a military platoon under his large coat. He takes a child-like enjoyment in killing and causing destruction, always arriving and lea"
16,Shin,Shin,35870,"Shin is Lin's brother who proves to be more loyal to his friends than to the Red Dragon Crime Syndicate. He appeared in Session 25:The Real Folk Blues (Part One), where he assists Spike in a duel against members of the Syndicate. He is the one who informs Spike that Vicious has tried to seize contro"
17,Miles,Miles,37186,Doohan's young assistant. An enthusiastic Blue Sox fan.
18,Ted Bower,Ted Bower,38884,"Age: 43 Height: 5'6"" ft. Weight: 154 Pounds  Appears in episode 22 ""Cowboy Funk"" He likes placing bombs inside small teddybears and hiding them in large buildings. At the end of the episode he admits that he wanted to blow up the largest building as a resistance to capitalism."
19,Fatty River,Fatty River,42425,"An old friend of Jet Black, and a bounty hunter with a sweet-tooth."
20,Rocco Bonnaro,Rocco Bonnaro,23686,"Rocco Bonnaro is a member of Piccaro Calvino's gang. He is involved in organized crime in order to support his blind younger sister, Stella Bonnaro and does everything he can to help her regain her sight. Rocco sees Spike effortlessly take out several hijackers on a spaceliner and begs Spike to teac"
21,Rhint Celonias,Rhint Celonias,23687,"Age: 27  Height: 5'11"" Weight: 154.5 lbs  Rhint is the boyfriend of Jet's old girlfriend that killed an loan shark in Jet's hometown. He has an bounty on his head and he ends up caught by Jet and goes to jail.  (Source: Cowboy Bebop Wikia)"
22,Grencia Mars Elijah Guo Eckener,Grencia Mars Elijah Guo Eckener,2736,"Gren was once a soldier for the war on Titan, and appears in the two-part episodes of 'Jupiter Jazz'. On Titan he fought beside Vicious, who he admired and found encouragement in, during the war. After the war, Gren came back hoping to be a jazz musician, but that plan was cut short when he was arre"
23,Abdul Hakim,Abdul Hakim,29559,The notorious serial pet thief who went after Ein. His appearance and fighting style were modeled after the NBA star Kareem Abdul-Jabbar.  (Source: Cowboy Bebop Wiki)
24,Afedersiniz Hesap Lütfen,Afedersiniz Hesap Lütfen,13249,"Age: 42 Height: 6 ft. Weight: 466 lbs. Birth place: Earth  Afedersiniz Hesap Lutfen (which means ""excuse me, check please"" in Turkish), is Ed's father. He is a cartographer on Earth (a questionable occupation on a planet which undergoes changes to its landscape daily due to asteroid impacts).   In e"
25,Meifa Puzi,Meifa Puzi,36364,A talented feng-shui practitioner like her father Pao Puzi. She develops a close bond with Jet.
26,Katerina Solensan,Katerina Solensan,30572,"Katerina Solensan was a drug smuggler and woman of the criminal Asimov Solensan. She dreamed of leaving the Tijuana asteroid for a better life on Mars, but died in her escape attempt alongside Asimov."
27,Udai Taxim,Udai Taxim,23611,"Udai Taxim was an assassin and former member of the European syndicate. He was involved in a plot to kill or injure the former ISSP agent Jet Black, who was one of the few police officers not on the syndicate payroll. As a result Jet lost his arm and was forced to use a prosthetic one. In 2071 Udai "
28,Victoria Terpsichore,Victoria Terpsichore,70753,"Victoria Terpsichore is a tough-talking, and widowed space trucker, whose deceased husband, Ural Terpsichore, is a man that fellow bounty hunters regard as a ""legendary bounty hunter."" Always with her cat, Zeros, she appears in the episode ""Heavy Metal Queen"". Spike meets her in a bar while on hunt "
29,Andy Von de Oniyate,Andy Von de Oniyate,23740,"Andy is a hunter who went after a criminal called Teddy Bomber whom he thought to be Spike. He is always with his mare, Onyx. He's a member of YMCA, Young Man's Cowboy Association. After fighting and losing he gives is cowboy title to Spike and turns into a samurai."
30,Electra Ovilo,Electra Ovilo,8435,"Electra Ovilo is a veteran of the Titan War. Her love for Vincent caused them to have a short-term relationship, during which Vincent transferred the vaccine to Electra. She is unaware of this until Vincent sets free the Nanomachines on the Monorail and she survives. She meets Spike by chance when h"
31,Vincent Volaju,Vincent Volaju,4035,"Main antagonist of the movie, Vincent is a rather melancholic introvert.  He was used as a test subject during the experimentation after the Titan War. He was the only survivor in a field of test subjects, ergo, the vaccine only he carried was successful. He was abandoned to die on Titan by the gove"
32,Captain,Captain,50053,No biography written.  
